YEAR,COUNTRY,RUNUP_HT,DEATHS,CAUSE
2004,INDONESIA,20.3,0, 
2004,INDONESIA,8.0,0, 
2004,INDONESIA,20.4,0, 
2004,INDONESIA,10.9,0, 
2004,SRI LANKA,5.59,0, 
2004,INDONESIA,8.1,0, 
2004,INDONESIA,9.0,0, 
2004,INDONESIA,21.1,0, 
2004,SRI LANKA,4.4,0, 
2004,INDONESIA,7.3,0, 
2004,SRI LANKA,3.8,0, 
2004,INDONESIA,8.1,0, 
2004,INDONESIA,21.2,0, 
2004,INDONESIA,4.1,0, 
2004,INDONESIA,5.01,0, 
2004,INDONESIA,23.4,0, 
2004,INDONESIA,3.1,0, 
2004,INDONESIA,21.97,0, 
2004,INDONESIA,27.7,0, 
2004,INDONESIA,7.04,0, 
2004,INDONESIA,4.1,0, 
2004,INDONESIA,29.0,0, 
2004,INDONESIA,18.46,0, 
2004,INDONESIA,6.26,0, 
2004,INDONESIA,29.0,0, 
2004,INDONESIA,28.59,0, 
2004,INDONESIA,1.1,0, 
2004,SRI LANKA,1.6,0, 
2004,INDONESIA,23.83,0, 
2004,INDONESIA,0.9,0, 
2004,SRI LANKA,2.3,0, 
2004,INDONESIA,22.2,0, 
2004,INDONESIA,29.68,0, 
2004,INDONESIA,3.9,0, 
2004,INDONESIA,21.1,0, 
2004,INDONESIA,5.7,0, 
2004,INDONESIA,22.1,0, 
2004,INDONESIA,22.1,0, 
2004,SRI LANKA,2.6,0, 
2004,INDONESIA,32.5,0, 
2004,INDONESIA,16.5,0, 
2004,INDONESIA,18.1,0, 
2004,INDONESIA,17.48,0, 
2004,INDONESIA,0.9,0, 
2004,INDONESIA,16.63,0, 
2004,SRI LANKA,2.7,0, 
2004,INDONESIA,32.72,0, 
2004,INDONESIA,1.2,0, 
2004,INDONESIA,5.7,0, 
2004,INDONESIA,12.39,0, 
2004,SRI LANKA,3.4,0, 
2004,INDONESIA,27.1,0, 
2004,INDONESIA,5.8,0, 
2004,INDONESIA,3.96,0, 
2004,INDONESIA,17.2,0, 
2004,INDONESIA,29.34,0, 
2004,SRI LANKA,3.3,0, 
2004,INDONESIA,27.6,0, 
2004,SRI LANKA,8.8,0, 
2004,INDONESIA,13.6,0, 
2004,INDONESIA,27.8,0, 
2004,INDONESIA,5.9,0, 
2004,INDONESIA,6.11,0, 
2004,INDONESIA,28.2,0, 
2004,SRI LANKA,8.4,0, 
2004,INDONESIA,29.3,0, 
2004,INDONESIA,11.3,0, 
2004,INDONESIA,29.6,0, 
2004,INDONESIA,12.9,0, 
2004,SRI LANKA,11.3,0, 
2004,INDONESIA,29.7,0, 
2004,INDONESIA,29.8,0, 
2004,INDONESIA,30.5,0, 
2004,INDONESIA,30.6,0, 
2004,INDONESIA,34.7,0, 
1861,INDONESIA,0.0,200, 
2004,INDONESIA,35.7,0, 
