YEAR,COUNTRY,RUNUP_HT,DEATHS,CAUSE,isTop10
2004,INDONESIA,7.2,0, ,True
2004,INDONESIA,7.3,0, ,True
2004,INDONESIA,7.3,0, ,True
2004,SRI LANKA,7.0,0, ,True
2004,INDONESIA,7.4,0, ,True
2004,INDONESIA,7.4,0, ,True
2004,SRI LANKA,3.2,0, ,True
2004,INDONESIA,7.5,0, ,True
2004,SRI LANKA,3.3,0, ,True
2004,INDONESIA,7.5,0, ,True
2004,INDONESIA,7.6,0, ,True
2004,INDONESIA,5.98,0, ,True
2004,SRI LANKA,3.4,0, ,True
2004,INDONESIA,4.73,0, ,True
2004,SRI LANKA,4.3,0, ,True
2004,INDONESIA,5.16,0, ,True
2004,SRI LANKA,4.0,0, ,True
2004,INDONESIA,7.6,0, ,True
2004,INDONESIA,5.56,0, ,True
2004,SRI LANKA,5.0,0, ,True
2004,INDONESIA,7.7,0, ,True
2004,INDONESIA,5.55,0, ,True
2004,INDONESIA,12.6,0, ,True
2004,INDONESIA,5.53,0, ,True
2004,INDONESIA,17.8,0, ,True
2004,INDONESIA,5.61,0, ,True
2004,INDONESIA,18.4,0, ,True
2004,INDONESIA,7.7,0, ,True
2004,INDONESIA,6.76,0, ,True
2004,INDONESIA,4.7,0, ,True
2004,INDONESIA,19.5,0, ,True
2004,INDONESIA,7.8,0, ,True
2004,INDONESIA,6.58,0, ,True
2004,INDONESIA,4.68,0, ,True
2004,INDONESIA,20.0,0, ,True
2004,INDONESIA,7.8,0, ,True
2004,INDONESIA,6.59,0, ,True
2004,INDONESIA,4.79,0, ,True
2004,INDONESIA,7.8,0, ,True
2004,INDONESIA,9.0,0, ,True
2004,INDONESIA,7.8,0, ,True
2004,INDONESIA,4.64,0, ,True
2004,INDONESIA,5.49,0, ,True
2004,INDONESIA,4.64,0, ,True
2004,INDONESIA,7.9,0, ,True
2004,INDONESIA,34.85,0, ,True
2004,SRI LANKA,1.5,0, ,True
2004,INDONESIA,8.0,0, ,True
2005,INDONESIA,3.0,0, ,True
2004,INDONESIA,18.79,0, ,True
2004,INDONESIA,8.0,0, ,True
2005,INDONESIA,1.0,0, ,True
2004,INDONESIA,4.2,0, ,True
2004,INDONESIA,21.56,0, ,True
2004,INDONESIA,4.5,0, ,True
2004,INDONESIA,4.9,0, ,True
2004,INDONESIA,4.58,0, ,True
2004,INDONESIA,31.91,0, ,True
2004,INDONESIA,4.52,0, ,True
2004,INDONESIA,6.0,0, ,True
2004,INDONESIA,4.7,0, ,True
2004,INDONESIA,4.56,0, ,True
2004,INDONESIA,4.67,0, ,True
2004,INDONESIA,4.43,0, ,True
2004,INDONESIA,12.8,0, ,True
1883,SRI LANKA,0.9,0, ,True
2004,INDONESIA,13.3,0, ,True
1883,SRI LANKA,1.0,0, ,True
2004,INDONESIA,13.7,0, ,True
1883,SRI LANKA,0.6,0, ,True
2004,INDONESIA,14.2,0, ,True
2004,INDONESIA,14.2,0, ,True
2004,INDONESIA,15.5,0, ,True
2004,INDONESIA,15.5,0, ,True
2004,INDONESIA,16.0,0, ,True
2004,INDONESIA,16.5,0, ,True
2004,INDONESIA,16.7,0, ,True
2004,INDONESIA,16.9,0, ,True
2004,INDONESIA,17.1,0, ,True
2004,INDONESIA,17.5,0, ,True
2004,INDONESIA,17.8,0, ,True
2004,INDONESIA,18.2,0, ,True
2005,INDONESIA,0.0,0, ,True
2004,INDONESIA,18.3,0, ,True
2004,INDONESIA,4.24,0, ,True
2004,INDONESIA,18.4,0, ,True
2004,INDONESIA,26.1,0, ,True
2004,INDONESIA,18.5,0, ,True
2004,INDONESIA,6.1,0, ,True
2004,INDONESIA,18.9,0, ,True
2005,INDONESIA,0.0,0, ,True
2005,INDONESIA,0.0,0, ,True
2005,INDONESIA,0.0,0, ,True
2004,INDONESIA,8.0,0, ,True
1883,SRI LANKA,0.0,0, ,True
2005,INDONESIA,0.0,0, ,True
2004,INDONESIA,20.0,0, ,True
2004,INDONESIA,8.0,0, ,True
2005,INDONESIA,0.0,0, ,True
2004,INDONESIA,27.9,0, ,True
2004,INDONESIA,8.1,0, ,True
2005,INDONESIA,3.6,0, ,True
2004,INDONESIA,2.42,0, ,True
2005,INDONESIA,3.3,0, ,True
2004,INDONESIA,8.1,0, ,True
2004,SRI LANKA,2.3,0, ,True
2005,INDONESIA,1.0,0, ,True
2004,INDONESIA,8.1,0, ,True
2004,SRI LANKA,1.8,0, ,True
2004,INDONESIA,8.1,0, ,True
2004,SRI LANKA,2.7,0, ,True
2004,INDONESIA,8.1,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.2,0, ,True
2004,INDONESIA,8.5,0, ,True
2004,INDONESIA,8.5,0, ,True
1887,INDONESIA,0.0,0, ,True
2004,INDONESIA,8.5,0, ,True
2004,INDONESIA,8.5,0, ,True
